"External ID","Name","Supplier/Supplier Product Code"
"AUTOLAMPS0057","HONDA CRV RD2 - (96 -01) - FRONT FENDER - RH","ANHUI TINCAI SILK CO. LTD"
"AUTOLAMPS0055","HONDA CRV RD2 - (96-01) - REAR BUMPER","ANHUI TINCAI SILK CO. LTD"
"AUTOLAMPS0058","HONDA CRV RD4 - (02-04) - REAR BUMPER","ANHUI TINCAI SILK CO. LTD"
"AUTOLAMPS0051","HONDA CRV (RD5) 5D SUV (02-06) - LAMINATED FRONT WINDSCREEN","1538*874"
"AUTOLAMPS0053","HONDA CRV (RE3,RE7) 5D SUV (06-12) - LAMINATED FRONT WINDSCREEN","1497*1042"
"AUTOLAMPS0059","HONDA FIT/JAZZ 2007-2010 - FRONT BUMPER ","HD03-0407"
"AUTOLAMPS0060","HONDA FIT/JAZZ 2007-2010 - FRONT BUMPER GRILL LOWER","HD03-0407-2"
"AUTOLAMPS0061","HONDA FIT/JAZZ 2007-2010 - FRONT BUMPER GRILL UPPER","HD03-0407-1"
"AUTOLAMPS0062","HONDA FIT/JAZZ 2007-2010 - HEAD LAMP - LH","HD03-0401"
"AUTOLAMPS0063","HONDA FIT/JAZZ 2007-2010 - HEAD LAMP - RH","HD03-0401"
"AUTOLAMPS0064","HONDA FIT/JAZZ 2007-2010 - TAIL LAMP - LH","HD03-0402A"
"AUTOLAMPS0052","HONDA FIT/JAZZ 2007-2010 - TAIL LAMP - RH","HD03-0402A"
"AUTOLAMPS0067","HONDA FIT/JAZZ 5D (01-08) - LAMINATED FRONT WINDSCREEN","1351*944"
"AUTOLAMPS0068","HONDA FIT/JAZZ 5D (01-08) - REAR HEATED WINDSCREEN","1334*474"
"AUTOLAMPS0065","HONDA FIT/JAZZ (TFO) 5D HATCHBACK (08-) - LAMINATED FRONT WINDSCREEN","1373*1149"
"AUTOLAMPS0066","HONDA FIT/JAZZ (TFO) 5D HATCHBACK (08-) - REAR HEATED WINDSCREEN","1370*440"
"AUTOLAMPS0069","HONDA STREAM (SMA) MPV (06-) - LAMINATED FRONT WINDSCREEN","1408*1048"
"AUTOLAMPS0071","ISUZU CXZ EXZ (97-) - CORNER PANEL - LH","IZ08-0110"
"AUTOLAMPS0072","ISUZU CXZ EXZ (97-) - CORNER PANEL - RH","IZ08-0109"
"AUTOLAMPS0073","ISUZU CXZ EXZ (97-) - DOOR GARNISH LOWER - LH","IZ08-0316A"
"AUTOLAMPS0074","ISUZU CXZ EXZ (97-) - DOOR GARNISH LOWER - RH","IZ08-0316A"
"AUTOLAMPS0070","ISUZU CXZ EXZ (97-) - FRONT BUMPER","IZ08-0207"
"AUTOLAMPS0083","ISUZU CXZ EXZ (97-) - FRONT GRILL","IZ08-0111"
"AUTOLAMPS0075","ISUZU CXZ/GIGA/APX CABOVER TRUCK (94-) - LAMINATED FRONT WINDSCREEN","2302*866"
"AUTOLAMPS0090","ISUZU DMAX (02-05)(213-1410N-A) - SIDE LAMP","IZ05-0438A"
"AUTOLAMPS0081","ISUZU DMAX (02-05) - FOG LAMP (213-2016) - LH","IZ05-0405"
"AUTOLAMPS0082","ISUZU DMAX (02-05) - FOG LAMP (213-2016) - RH","IZ05-0405"
"AUTOLAMPS0077","ISUZU DMAX (02-05) - FRONT BUMPER (BLACK)","IZ05-0407"
"AUTOLAMPS0078","ISUZU DMAX (02-05) - FRONT BUMPER (GREY)","IZ05-0407"
"AUTOLAMPS0084","ISUZU DMAX (02-05) - GRILL (CHROME)","IZ05-0411B"
"AUTOLAMPS0085","ISUZU DMAX (02-05) - GRILL (GREY W/CHROME MIDDLE)","IZ05-0411A"
"AUTOLAMPS0086","ISUZU DMAX (02-05) - HEAD LAMP (213-1131) - LH","IZ05-0401B"
"AUTOLAMPS0087","ISUZU DMAX (02-05) - HEAD LAMP (213-1131) - RH","IZ05-0401B"
"AUTOLAMPS0079","ISUZU DMAX (02-05) - INNER FENDER - LH","IZ05-0416B"
"AUTOLAMPS0080","ISUZU DMAX (02-05) - INNER FENDER - RH","IZ05-0416B"
"AUTOLAMPS0091","ISUZU DMAX (02-05) - TAIL LAMP (213-1926) - LH","IZ05-0402"
"AUTOLAMPS0092","ISUZU DMAX (02-05) - TAIL LAMP (213-1926) - RH","IZ05-0402"
"AUTOLAMPS0088","ISUZU DMAX (02-05) - TAIL LENS (213-1926-00) - LH","IZ05-0402-00"
"AUTOLAMPS0089","ISUZU DMAX (02-05) - TAIL LENS (213-1926-00) - RH","IZ05-0402-00"
"AUTOLAMPS0095","ISUZU DMAX (02-11) - SIDE MIRROR (ELECTRIC/BLACK) - LH","IZ05-0412C"
"AUTOLAMPS0096","ISUZU DMAX (02-11) - SIDE MIRROR (ELECTRIC/BLACK) - RH","IZ05-0412C"
"AUTOLAMPS0093","ISUZU DMAX (02-11) - SIDE MIRROR (ELECTRIC-CHROME) - LH","IZ05-0412C-1"
"AUTOLAMPS0094","ISUZU DMAX (02-11) - SIDE MIRROR (ELECTRIC-CHROME) - RH","IZ05-0412C-1"
"AUTOLAMPS0097","ISUZU DMAX (02-11) - SIDE MIRROR (MANUAL-BLACK) - LH","IZ05-0412B"
"AUTOLAMPS0098","ISUZU DMAX (02-11) - SIDE MIRROR (MANUAL-BLACK) - RH","IZ05-0412B"
"AUTOLAMPS0099","ISUZU DMAX (02-11) - SIDE MIRROR (MANUAL-CHROME) - LH","IZ05-0412B-C"
"AUTOLAMPS0100","ISUZU DMAX (02-11) - SIDE MIRROR (MANUAL-CHROME) - RH","IZ05-0412B-C"
"AUTOLAMPS0112","ISUZU DMAX (06-07) - SIDE LAMP (CLEAR)(213-1410PXA-VCU)","IZ05-0438B"
"AUTOLAMPS0113","ISUZU DMAX (06-07) - TAIL LAMP (BRIGHT RED)(213-1929) - LH","IZ05-0602"
"AUTOLAMPS0114","ISUZU DMAX (06-07) - TAIL LAMP (BRIGHT RED)(213-1929) - RH","IZ05-0602"
"AUTOLAMPS0115","ISUZU DMAX (06-07) - TAIL LAMP (DARK RED)(213-1929-UE-S) - LH","ANHUI TINCAI SILK CO. LTD"
"AUTOLAMPS0116","ISUZU DMAX (06-07) - TAIL LAMP (DARK RED)(213-1929-UE-S) - RH","ANHUI TINCAI SILK CO. LTD"
"AUTOLAMPS0108","ISUZU DMAX (06-07) - TAIL LENS (BRIGHT RED)(213-1929-00) - LH","IZ05-0602-00"
"AUTOLAMPS0109","ISUZU DMAX (06-07) - TAIL LENS (BRIGHT RED)(213-1929-00) - RH","IZ05-0602-00"
"AUTOLAMPS0110","ISUZU DMAX (06-07) - TAIL LENS (DARK RED)((213-1929-UE-S-00) - LH","ANHUI TINCAI SILK CO. LTD"
